video,frame_idx,left_hand_detected,right_hand_detected,roi_rescued_count,mean_pose_visibility,mediapipe_ms
webcam_20260523_203425,228,True,True,0,0.638656735420227,71.85179996304214
webcam_20260523_203425,229,True,True,0,0.6389089226722717,68.97870008833706
webcam_20260523_203425,230,True,True,0,0.6402974128723145,73.86039989069104
webcam_20260523_203425,231,True,True,0,0.640828549861908,69.560999982059
webcam_20260523_203425,232,True,True,0,0.6422247886657715,76.48189994506538
webcam_20260523_203425,233,True,True,0,0.6428712010383606,68.67269985377789
webcam_20260523_203425,234,True,True,0,0.6426011919975281,71.6384002007544
webcam_20260523_203425,235,True,True,0,0.6425288915634155,73.51330015808344
webcam_20260523_203425,236,True,True,0,0.6421094536781311,69.64419991709292
webcam_20260523_203425,237,True,True,0,0.642004132270813,74.99450002796948
webcam_20260523_203425,238,True,True,0,0.6425153613090515,79.35180002823472
webcam_20260523_203425,239,True,True,0,0.6436266899108887,79.45879991166294
webcam_20260523_203425,240,True,True,0,0.6444106101989746,69.43870009854436
webcam_20260523_203425,241,True,True,0,0.6430277228355408,74.53300012275577
webcam_20260523_203425,242,True,True,0,0.6436071395874023,79.1342998854816
webcam_20260523_203425,243,True,True,0,0.643895149230957,67.94480001553893
webcam_20260523_203425,244,True,True,0,0.6442410349845886,74.5137999765575
webcam_20260523_203425,245,True,True,0,0.6438161134719849,74.8483999632299
webcam_20260523_203425,246,True,True,0,0.6424340009689331,73.32989992573857
webcam_20260523_203425,247,True,True,0,0.6412670612335205,71.1457000579685
webcam_20260523_203425,248,True,True,0,0.6408026814460754,72.60269997641444
webcam_20260523_203425,249,True,True,0,0.6405971646308899,77.90959998965263
webcam_20260523_203425,250,True,True,0,0.6402449607849121,68.48849984817207
webcam_20260523_203425,251,True,True,0,0.6399199366569519,73.86779994703829
webcam_20260523_203425,252,True,True,0,0.6401181817054749,69.43119992502034
webcam_20260523_203425,253,True,True,0,0.6403087973594666,71.65350019931793
webcam_20260523_203425,254,True,True,0,0.6407739520072937,70.98480011336505
webcam_20260523_203425,255,True,True,0,0.6416014432907104,76.41390012577176
webcam_20260523_203425,256,True,True,0,0.6342630386352539,77.32959999702871
webcam_20260523_203425,257,True,True,0,0.6271482706069946,78.24589987285435
webcam_20260523_203425,258,True,True,0,0.6262521147727966,68.31190013326705
webcam_20260523_203425,259,True,True,0,0.6260342001914978,72.26080005057156
webcam_20260523_203425,260,True,True,0,0.6266381144523621,68.06600000709295
webcam_20260523_203425,261,True,True,0,0.6256071329116821,70.34730003215373
webcam_20260523_203425,262,True,True,0,0.626646101474762,71.72590005211532
webcam_20260523_203425,263,True,True,0,0.6278900504112244,77.50209979712963
webcam_20260523_203425,264,True,True,0,0.6289271116256714,71.84109999798238
webcam_20260523_203425,265,True,True,0,0.6283330321311951,73.17670015618205
webcam_20260523_203425,266,True,True,0,0.6272580027580261,70.50989987328649
webcam_20260523_203425,267,True,True,0,0.6198362112045288,70.33469993621111
webcam_20260523_203425,268,True,True,0,0.620151162147522,77.5983000639826
webcam_20260523_203425,269,True,True,0,0.6181643009185791,75.03159996122122
webcam_20260523_203425,270,True,True,0,0.6204925179481506,76.81069988757372
webcam_20260523_203425,271,True,True,0,0.6235159635543823,68.41069995425642
